title,review_score,review_summary,review_text,description,authors,publisher,categories
The Man from Stone Creek,4.0,The Man From Stone Creek,"As usual, I enjoyed another book from Linda Lael Miller and found several mistakes. They need to hire me to read for them and make the corrections.","Arizona Ranger Sam O'Ballivan, posing as a schoolmaster to control the rough ranchers' children who attend the school, finds himself distracted by Maddie, the lovely sister of one of his worst students, who runs the local mercantile.",['Linda Lael Miller'],HQN Books,['Fiction']
The Hobbit,5.0,"A fantastic read, even for non-fantasy fans!","I read this book, having heard so much good being said about the Lord of the Rings, despite having dismissed the fantasy genre as kiddy reading. Besides the book is much thinner than the daunting thick volume of the latter! The book has all the ingredients of a sure winner, regardless of genres - humor, action and emotion. I loved it so much that I am actually now keen on reading the Lord of the Rings, thick volume and all. Count me in as a fantasy fan - this books has won me over!","Celebrating 75 years of one of the world's most treasured classics with an all new trade paperback edition. Repackaged with new cover art. 500,000 first printing.",['J. R. R. Tolkien'],Mariner Books,['Juvenile Fiction']
The Courage to Be,5.0,Tillich makes the world look shimmeringly alive.,"&quot;It takes tremendous courage to resist the lure of appearances. The power of being which is manifest in such courage is so great that the gods tremble in fear of it.&quot; Paul Tillich, The Courage to Be.Paul Tillich's ideas are a response to existentialism, German philosphy, modern physics &amp; the success of totalitarian movements in Germany, Russia &amp; Italy. He is a bridge between the 19th Century &amp; the growth of new theological thought in latter part of the Twentieth.Tillich is not all that difficult to understand in The Courage to Be. However, it's unfortunate that his three wonderful collections of sermons (The Shaking of the Foundations; The New Being; The Eternal Now) are out-of-print, as these are his best introductions.Readers coming to Tillich will have to grapple with the common metaphors of Christian faith. For Tillich, the concepts of Heaven &amp; even an afterlife are not terribly important, as they imply a continuation of life in time that he is not able to accept scientifically or on faith. So one meets those lovely semi-metaphors of &quot;being itself,&quot; &quot;non-being&quot; &amp; &quot;ground of being&quot; that, for me at least, were a more clear explanation of how I experience the world than God the &quot;Father&quot; or Holy Ghost.This makes Tillich a crucial step into Feminist &amp; Language theology, although he couldn't quite make the big leap himself.Basically, Tillich says we're stuck in an undefinable present that moves creatively into an unknown future in which nothing is a given but the fact that we are alive right now, so what do we intend to do about it? This is &quot;being&quot; &amp; being, above all else, requires courage; the courage of early Christians facing the axe or the fire. As for Tillich's &quot;Ground of Being,&quot; one might compare it - inadequately - to a tree as a reflection of its roots - a metaphor I copped from another Paul ...artist Paul Klee. Tillich says that we cannot speak unsymbolically about being.In the aftermath of September 11, 2001, Paul Tillich's theology gains even greater relevance. He witnessed in Germany the acquiescence of the established churches to National Socialism &amp; the failure of Democratic Christian Socialism. I do not believe he would have many kind words for contemporary Islam, a religious system so bound to orthodoxy as to make it incapable of relevant reform. On the other hand, Tillich would have immediately recognized those manifestations of the &quot;Kingdom of God&quot; which began appearing even before the Twin Towers had collapsed. Our estrangement from God in the Eternal Now (which invites demonic energy as a tall tree invites lightning) is overcome only in the present moment. Evil may be defeated with violent retaliation, but it is conquered with love.Paul Tillich is especially liberating for artists. Stopping just short of Buddhism, Tillich makes the world look shimmeringly alive &amp; filled with possibilities, yet so transient - a world of appearances.&quot;The courage to be is rooted in the God who appears when God has disappeared in the anxiety of doubt.&quot; Paul Tillich, The Courage to BeBob RixonAlso recommended&quot; Henri Bergson, An Introduction to Metaphysics","“Marie Kondo, but for your brain.” —HelloGiggles “Compelling from front to back. Highly recommend.” —Marc Andreessen Reading this book could change your life. The Courage to Be Disliked, already an enormous bestseller in Asia with more than 3.5 million copies sold, demonstrates how to unlock the power within yourself to be the person you truly want to be. Is happiness something you choose for yourself? The Courage to Be Disliked presents a simple and straightforward answer. Using the theories of Alfred Adler, one of the three giants of nineteenth-century psychology alongside Freud and Jung, this book follows an illuminating dialogue between a philosopher and a young man. Over the course of five conversations, the philosopher helps his student to understand how each of us is able to determine the direction of our own life, free from the shackles of past traumas and the expectations of others. Rich in wisdom, The Courage to Be Disliked will guide you through the concepts of self-forgiveness, self-care, and mind decluttering. It is a deeply liberating way of thinking, allowing you to develop the courage to change and ignore the limitations that you might be placing on yourself. This plainspoken and profoundly moving book unlocks the power within you to find lasting happiness and be the person you truly want to be. Millions have already benefited from its teachings, now you can too.","['Ichiro Kishimi', 'Fumitake Koga']",Simon and Schuster,['Self-Help']
TAI-PAN,1.0,Tai Pan is no Shogun,"Like many on this board, I picked up Tai Pan after reading Shogun. In my opinion Shogun is one of the top 5 novels written in the English language. Perhaps because of the expectation set by Shogun, I found Tai Pan to be a huge disappointment. Shogun was a story of empire-building and forbidden romance. Half way through Tai Pan, the ""drama"" centers around a pending beauty pageant and which two tea-carrying ships will dock first on a different continent six months in the future. I started, but was unable to finish, both Tai Pan and Noble House. For me at least, being a fan of Clavell turned out to be really just a fan of Shogun.","'Intensely readable and exciting' Sunday Telegraph Set in the turbulent days of the founding of Hong Kong in the 1840s, Tai-Pan is the story of Dirk Struan, the ruler - the Tai-Pan - of the most powerful trading company in the Far East. He is also a pirate, an opium smuggler, and a master manipulator of men. This is the story of his fight to establish himself and his dynasty as the undisputed masters of the Orient. 'Packed with action . . . gaudy and flamboyant with blood and sin, treachery and conspiracy, sex and murder . . . grand entertainment' New York Times",['James Clavell'],Hachette UK,['Fiction']
East,5.0,The heroine saves the hero.,The heroine saves the hero.Enjoyed this lovely book. Rose is a strong and adventurous young woman.,"Rose was born into the world facing north, and as a north child, superstition says that she will be a wanderer, travelling far from home. This prophecy is fulfilled when she is taken on the back of a white bear to a mysterious empty castle, where a silent stranger appears to her night after night. When her curiosity overcomes her, she loses her heart, and must journey to a land east of the sun and west of the moon to reclaim it. ""An enchanting retelling of a traditional fairytale, this beautifully written story completely swept me away"" - Becky Stradwick, Borders UK Shortlisted - Ottakar's Children's Book Prize 2006",['Edith Pattou'],Usborne Publishing Ltd,['Juvenile Fiction']
A Deepness in the Sky,5.0,Great science fiction,"This is great science fiction! I usually like Vinge's books, and this one was fully up to par. It intertwines two converging stories. One is about a group of (human) freedom loving space traders who travel and sell in many star systems, who are thrown together with (human) totalitarian exploiters. The other is about an intelligent race of spiders whose &quot;on-off&quot; star blinks with a century-long period -- thus they must endure a multi-decade deep freeze during their lifetimes (the &quot;Deepness&quot; in the title is a place where spiders can hibernate through a freeze).This is great science fiction. The plot is exciting, and Vinge invents and explores the ramifications of several interesting technologies plus the weird on-off star environment. He also explores social conflicts between the human societies and the spider societies. Both sets of societies appear to have intentional parallels with current societies here on earth.I believe Vinge intends those parallels to be an important part of the book, so I'm going to write a little more about them. Many of Vinge's books feature societies based around a libertarian ideal of little or no government, and privatization of government's traditional functions. For example, in a story called &quot;The Ungoverned,&quot; a section of the former United States has no government at all, and people hire private companies with names like &quot;Michigan State Police&quot; and &quot;Al's protection Racket&quot; for traditional government services.One problem with a government-free society is the possibility that some people may completely trample the rights of others without fear of reprisal. In &quot;Deepness,&quot; Vinge encapsulates that problem as the problem slavery. The totalitarians are not averse to slavery; the freedom-loving traders despise slavery.I see one flaw in the book, which doesn't affect the science fiction or the exciting plot; only the philosophy. The flaw is that Vinge doesn't adequately account for *why* the good guys' hate slavery. After all, one could consider slavery a form of contract, or slaves an article of trade (slavery was treated this way here on earth for thousands of years). Vinge's explanation of why the traders hate slavery is essentially social taboo -- it's part of the trader culture. But it's a taboo that has lasted a thousand years and holds everywhere in the many loose-knit trader communities. Why? We know societies change and upstarts challenge taboos, so the ones that remain must serve some very useful purpose. Vinge doesn't account for the constancy of the taboo.I think a libertarian philosophy that allowed slavery would be repugnant to many readers, so Vinge created one that prevented slavery, but his taboo mechanism is weak. I think this points up a flaw in libertarian philosophy that Vinge is struggling to deal with -- the flaw being that libertarianism may be a little to value-neutral to appeal to mainstream American readers raised on apple pie and the U.S. Constitution. I'll be interested to see how Vinge continues to deal with this issue in future writings.Never the less, as I mentioned above, the flaw doesn't affect the plot or the science fiction; only the philosophy of the book. It's still great SF, imaginative and thought provoking, and a very enjoyable read.","A Hugo award-winning Novel! “Vinge is one of the best visionary writers of SF today.” —David Brin Thirty-Thousand years before A Fire Upon the Deep, humans stand on the verge of first contact with an alien race. Two human groups: the Qeng Ho, a culture of free traders, and the Emergents, a ruthless society based on the technological enslavement of minds. The group that opens trade with the aliens will reap unimaginable riches. But first, both groups must wait at the aliens' very doorstep for their strange star to relight and for their planet to reawaken, as it does every two hundred and fifty years. More than just a great science fiction adventure, A Deepness in the Sky is a universal drama of courage, self-discovery, and the redemptive power of love. Tor books by Vernor Vinge Realtime/Bobble Series The Peace War Marooned in Realtime Other Novels The Witling Tatja Grimm's World Rainbows End Collections Collected Stories of Vernor Vinge True Names At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",['Vernor Vinge'],Macmillan,['Fiction']
Herbs for Hepatitis C and the Liver (A Storey Medicinal Herb Guide),5.0,A MUST have,"If you have Hep C as do I, this is a MUST have book. Very well written in a way that makes it seem it was written just for you. PACKED with vital info. I only wish I would have gotten this book sooner.","Providing practical guidance and hope, Stephen Harrod Buhner offers a thorough examination of the most effective herbal remedies for hepatitis C. While promoting a protocol of cleansing the liver and strengthening the immune system through a combination of diet, herbal medicines, and lifestyle changes, this guide will help you choose the best remedies for your individual needs. Clear descriptions of how common herbal treatments work to combat hepatitis C will empower you to make informed choices that can successfully mitigate your suffering.",['Stephen Harrod Buhner'],"Storey Publishing, LLC",['Health & Fitness']
Mountains of Spices,5.0,Mountain of Spices,"I love this book. I have trouble with memorazation. This book keeps my interest. It s very easy to read. I like that.It is an allegory in christian form. There is a girl named named ""Grace and Glory"". She was formerly ""Much Afraid"" in the book ""Hinds feet on high places"" which I would recommend also. Anyway in the book ""Mountain of Spices"" she helps her relatives- to follw the good shepherd-Jesus and get to the ""high place""I am not positive what that is. It could be heaven- or to be saved.it s very enjoyable reading. it is fun reading. Not boring or authoritative. Think of a book like ""Nancy Drew by carolyn Keen- It is fun, easy reading like that.The author of ""Mountain of spices is Hannah Hurnard.Ths was a paperback. It did not cost much.",An allegory about human weakness and strengths comparing the spices in song of Solomon to the fruits of the Spirit.,['Hannah Hurnard'],"Tyndale House Publishers, Inc.",['Fiction']
"The Subtle Knife: His Dark Materials, Book 2",5.0,Beautiful!,"Like many folks, I find that the second installment in a trilogy is often the weakest. The author usually runs out of steam, or doesn't care about his/her characters enough to put them into as interesting a set of situations as they were in with volume #1. Perhaps, the author feels that he/she can take a breather and bring everything up to speed with #3.Not so with Pullman. He delivers a wallop with the first page and doesn't let up. Pullman also ends the book with a set of cliffhangers that must have made readers absolutely nuts until &quot;The Amber Spyglass&quot; arrived.The tenderness is still there (I nearly cried over the parts about Will's mother). The evil Mrs. Coulter is again on the scene, totally amoral and vicious, but not so &quot;perfectly evil&quot; that she seems unreal. Lyra is as tough and smart as always, while still making mistakes and paying for them. Pullman is also brave enough to kill off a few of his favorites, which keeps up the plausibilty level and propels the survivors forward.And the concept of a righteous war in Heaven...! The author shows a tremendous amount of courage even to bring up the subject, let alone tackle it to the degree he does. Readers may disagree with him; but they will be forced to think about his ideas.Very, very good.","Will is 12 years old, and he's just killed a man. Now he's on his own, on the run, determined to discover the truth about his father's disappearance.",['Philip Pullman'],,['Adventure stories']
The Big Book of Brewing,5.0,Should be part of any brewing library!,"I read a rewiew on David Line's book, ""Brewing Beers Like Those You Buy"". I felt the rewiew was so wrong that I wrote the following:Dave Line wrote two great books, ""The Big Book of Brewing"" and this book. This book was a recipe book, not a guide. It's great to see how he approached brewing each beer. I have been brewing full mash brewing since 1980. I usually brew bitter and pale ales. This book is a constant reference.Other than the discontinued use of Sodium metabisulphite for sterilization, I'm not sure how ""Homebrewing has evolved so much since then""?His Big Book of Brewing was written in 1974 and the recipe book in 1978. The making great beer has not changed since then. The full mash process has been the same for hundreds of years.Both books are great reference books and should be part of any brewing library.","This is a book for any really enthusiastic and ambitious home brewer - the person who wants to brew high quality, 'true' beers using real hops and grains, rather than by using more easily-handled kits and powdered or liquid malt extracts.",['Dave Line'],,['Brewing']
Point of Origin,1.0,What is next for Kay?,I keep waiting for Kay to decide the lifestyle Lucy leads is the one for her....and it seems the plot is heading that way. This was her worst book and I am not glad to say I read it...just that it is my last to read.,CORNWELL/POINT OF ORIGIN,['Patricia Daniels Cornwell'],Berkley,['Fiction']
"Incubus Dreams (Anita Blake, Vampire Hunter, Book 12)",5.0,What's the fuss folks?,"I've read many of these reviews and almost did not purchase Ms. Hamilton's next book in the Anita Blake series (Incubus Dreams) because of them. I am glad I purchased it despite the mixed reviews. I don't understand why so many people are whining about the sex. I found the scenes to be surprising and entertaining. Yes, there were more graphic sex scenes than in previous stories - but, hey - I thought it was a logical direction for the story to go. Anita has been evolving into the person that she ultimately becomes in this novel. I do not think that I could have taken any more of her tip-toeing around serious issues in her relationships (yes, relationships - as in more than one) or anymore of her self-loathing because of her sexual desires. People, just realize a few things: One, this is a book - it is entertainment; Two - vampires, werewolves, necromancers, etc. are not real (see point number one); Three - if you are this far into the series and are surprised and shocked by this turn of events you probably should not read vampire books.","In her role as consort of Jean-Claude, the seductive Master Vampire of the City, Anita Blake is faced with a dangerous conflict of interest when she assists with the search for a vampire serial killer who is stalking strippers.",['Laurell K. Hamilton'],"Anita Blake, Vampire Hunter",['Fiction']
Psycho-Cybernetics,5.0,The First Book of It's Kind I Read,"This is the first book of it's kind I ever read and it is still a truly inspiring and very informative work today.Best wishes,Donald Ryles PhD, CHAuthor of Hidden Secrets of ""Many, But One","Cybernetics (loosely translated from the Greek): “a helmsman who steers his ship to port.” Psycho-Cybernetics is a term coined by Dr. Maxwell Maltz, which means, “steering your mind to a productive, useful goal so you can reach the greatest port in the world, peace of mind.” Since its first publication in 1960, Maltz’s landmark bestseller has inspired and enhanced the lives of more than 30 million readers. In this updated edition, with a new introduction and editorial commentary by Matt Furey, president of the Psycho-Cybernetics Foundation, the original text has been annotated and amplified to make Maltz’s message even more relevant for the contemporary reader. “Before the mind can work efficiently, we must develop our perception of the outcomes we expect to reach. Maxwell Maltz calls this Psycho-Cybernetics; when the mind has a defined target it can focus and direct and refocus and redirect until it reaches its intended goal.” —Tony Robbins (from Unlimited Power) Maltz was the first researcher and author to explain how the self-image (a term he popularized) has complete control over an individual’s ability to achieve (or fail to achieve) any goal. And he developed techniques for improving and managing self-image—visualization, mental rehearsal, relaxation—which have informed and inspired countless motivational gurus, sports psychologists, and self-help practitioners for more than fifty years. The teachings of Psycho-Cybernetics are timeless because they are based on solid science and provide a prescription for thinking and acting that lead to quantifiable results.",['Maxwell Maltz'],Penguin,['Self-Help']
"The river war, an account of the reconquest of the Sudan,",5.0,the river war,"The River War is an outstanding account of Anglo Egyptian relations at the end of the Nineteenth Century as well as a detailed chronical of Herbert Kitchener.s three year campaign to reassert Egyptian, and thus British control over the Nile basin. Young Churchill shows the beginnings of the great writer he became, and we see the beginnnings as well of his development from a pure Victorian to a man of the world. The book offers insights, still timely, into the Arab mind, the crucial role of logistics in military ventures, and the historical divide between Muslim arabs and black Africans. This clash of class and culture plays out today in Dafur, Alas, the Kindle version lacks maps. endnote: railroad buffs will enjoy immensely the chapter on the railroad built by Kitchener's army.",Retelling in military detail of the operations directed by Lord Kitchener of Khartoum on the Upper Nile from April 1896 to November 1899.,['Winston Churchill'],"Skyhorse Publishing, Inc.",['History']
The Country of the Pointed Firs and Other Stories (Penguin Classics),5.0,A Novel of Compassion,"The Country of Pointed Firs is comprised of a series of stories, unified in the setting and interaction among the the characters. The values of the characters are revealed clearly. They are people of an earlier time in New England, specifically Maine, living on islands, small towns, and farms. The book contains vivid description of the ocean, the country side, gardens, and the fir trees. The style is simple, direct, and Jewett uses local idiom, bringing a charm to the book. A series of stories, each complete in themselves, is similar to the style of Willa Cather in her novels and Sherwood Anderson in Winesburg Ohio. There is no complex plot, but rather a development of character, revealing profound emotion and people touched by a complexity of events. It is not accurate to see the novel as sentimental episodes or an idealizing, or romantizing of small towns and agrarian life. Her legitmate place in American Literature is becoming more and more secure. The book is a comfortable read, with beautiful passages and deep insights.The kind of book that one would like to go on for another fifty pages. It is fine reading. Don't miss out on it. Highly recommended.","Featuring a new Afterword by Balaam, this collection contains the novel ""The Country of Pointed Firs"" and several stories in which Jewett explores the world of the lonely inhabitants of once-prosperous towns along Maine's coast. Revised reissue.","['Sarah Orne Jewett', 'Anita Shreve', 'Peter Balaam']",Penguin,['Fiction']
As a man thinketh (Little blue book),5.0,THIS IS A LIFE-CHANGING BOOK,"I love this book because it basically affirms what I had always believed--that our thoughts hold the key to our circumstances. If I could recommend only one &quot;self-help&quot; book to anyone, this would have to be it. Read it, live it, love it.",,['James Allen'],,['New Thought']
The Picture of Dorian Gray,2.0,I just didn't like it...,"Ugh, what to say about this book. I wanted so badly to love it, but I didn't. I didn't even like it a little bit. That's terrible when you don't really enjoy the very first classic you read. This isn't setting a good stage for the future and planning on reading one classic a month. Good thing Alice in Wonderland is next month. That will definitely make up for the suck of this one. Don't you hate it when you hear such good things about a book and you go in expecting to love it only to be completely disappointed? Yeah, that's what happened here.The book follows Dorian Gray (the original Mr. Gray, if you will) who is apparently a very beautiful man who is envied by many only he doesn't quite understand why. I liked Dorian but I didn't feel like his character had much depth. I liked that he wasn't all look how sexy I am you know you want this, but at the same time he was kind of a sissy. He follows this Lord Henry guy around like he's a lost little puppy dog and puts up with him bashing him on numerous occasions. I don't know who this guy thinks he is but I had to force myself not to skip over his parts. The only rational person in this book (minus his psycho obsession over Dorian) is Basil but he isn't in enough of the book to really care too much about.I think I know why I couldn't get into this book as much as the rest of the people who told me about it. Have you seen the movie The League of Extraordinary Gentlemen? Okay, I see Dorian Gray in that movie when I think about him. I see Stuart Townsend in all his ""I'm the bomb get over it"" glory. I cannot and will not picture him as the pushover that he was in this book. That movie ruined the book for me. I remember watching the actual Dorian Gray movie but it was boring too. I may have to watch it again just to see how terrible it was in comparison to the book, but I vaguely remember falling asleep at some point.The only reason I didn't give it one butterfly is because I was able to finish it. It was hard and it seemed like forever, but I did it. And the only reason I did it was to get to the end. I read on and off for like five days just to read about the scene I could have watched in The League of Extraordinary Gentlemen after only an hour and a half. Stuart Townsend will always be my Dorian Gray. This book just didn't do it for me. However... Dorian is a VERY cool name. Props to Mr. Wilde for that.",The Picture of Dorian Gray by Oscar Wilde,['Óscar Wilde'],,
"Winter's Heart (The Wheel of Time, Book 9)",4.0,Tidy book... with a blockbuster-ending!,"The latest installment in The Wheel of Time, Winter's Heart, at least shows us Jordan worth the money. Though the books, from The Fires of Heaven and forward, has slowed their pace and gotten into a sly and tidy pace, Jordan has his moments.Mat Cauthon is back and is still in the place we left him two books away. The Daughter of the Nine Moons arrives and Mat is getting itchy. Perrin is hunting for the Shaido and Faile, Elayne is waiting in Caemlyn for her crown, the Aes Sedai is still fighting and Rand is on the run. This book would be an average book if it weren't for the massive ending where almost all of the Forsaken and Rand's company battle each other while Rand and Nynaeve is trying to cleanse saidin...","The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. Rand is on the run with Min, and in Cairhein, Cadsuane is trying to figure out where he is headed. Rand's destination is, in fact, one she has never considered. Mazrim Taim, leader of the Black Tower, is revealed to be a liar. But what is he up to? Faile, with the Aiel Maidens, Bain and Chiad, and her companions, Queen Alliandre and Morgase, is prisoner of Savanna's sept. Perrin is desperately searching for Faile. With Elyas Machera, Berelain, the Prophet and a very mixed ""army"" of disparate forces, he is moving through country rife with bandits and roving Seanchan. The Forsaken are ever more present, and united, and the man called Slayer stalks Tel'aran'rhiod and the wolfdream. In Ebou Dar, the Seanchan princess known as Daughter of the Nine Moons arrives--and Mat, who had been recuperating in the Tarasin Palace, is introduced to her. Will the marriage that has been foretold come about? TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —Variety The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan Warrior of the Altaii By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",['Robert Jordan'],Tor Books,['Fiction']
Of Mice and Men (Penguin Audiobooks),5.0,Of Men and Mice,Thank you for an easy transaction. The book is in great condition - as described.,"Penguin Classics presents John Steinbeck’s classic tale as an eBook enhanced with ten exclusive video clips featuring students responses, questions for classroom discussions, and an American Dream assignment Nobel Prize-winner John Steinbeck’s Of Mice and Men remains one of America's most widely read and taught novels. An unlikely pair, George and Lennie, two migrant workers in California during the Great Depression, grasp for their American Dream. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. Of Mice and Men: Teacher’s Edition includes the following: • An introduction and suggested further reading by Susan Shillinglaw, a professor of English at San Jose State University and Scholar-in-Residence at the National Steinbeck Center in Salinas • The poem “To a Mouse, On Turning Her Up in Her Nest with the Plough, November 1785” by Robert Burns (the original source of Steinbeck’s title Of Mice and Men) • The 1962 Nobel Banquet Speech by John Steinbeck • An exclusive audio interview with award-winning actor James Earl Jones on his stage performances in Of Mice and Men • Ten exclusive videos of students on major themes from the novel tied to group discussion questions included in the eBook, and an American Dream assignment, for the ultimate educational experience",['John Steinbeck'],Penguin,['Fiction']
Change: Principles of Problem Formation and Problem Resolution,5.0,Excellent...and Challenging...Book on Change,"Written 34 years ago, ""Change; Principles of Problem Formation and Problem Resolution"" addresses the significant topic of Change in a manner as relevant, if not more so, than it was when the book was first published.This is not an easy book...it links the mathematical areas of Group Theory and Logical Types with different types of change...but it is well-worth the effort required to complete, understand and appreciate the book's messages.Terms such as ""framing"" and ""reframing"" are central to the ideas put forth in this book...these terms are frequently used today in leadership training and development courses. In an era where terms and buzzwords change frequently, I view the longevity of such terms as a testament to the lasting relevance of this book and its messages.I highly recommend this book to all readers. The book covers a topic...change...that intersects many areas of life. It is well worth a read.",Three prominent American therapists detail their theories and strategies for promoting human change and dealing with related psychological problems.,"['Paul Watzlawick', 'John H. Weakland', 'Richard Fisch']",W W Norton & Company Incorporated,['Psychology']
"Atlantis, The Lost Continent Finally Found",5.0,A quick FYI about the links and website,"Although this is not a review per se, it is worth mentioning that Dr. Santos passed away early in 2005 and the sales and upkeep of the book data as well as the upkeep and availability of the site was discontinued. The site is back up and sales have commenced now, but for those who were attributing the lack of support and/or validity of the bonus information sources to negligence, poor writing or indifferent support, there must be far less acceptable explanations for such a lapse than the passing of the author behind the work.","The late author Arysio Santos was a highly regarded climatologist, geologist, and nuclear physicist. He was also a scholar of history, folklore, languages, and the occult. In this groundbreaking study of Atlantis, he draws on all these disciplines, as well as ancient maps, Plato’s dialogues, and folkloric narratives, to provide the most compelling case yet of the disappearance of an entire civilization. Professor Santos demonstrates that Plato’s dating of Atlantis’s disappearance in 11,600 BP (before present) precisely corresponds to the catastrophic end of the Pleistocene Ice Age, as well as a historic flood event of cataclysmic proportions. The rising of the sea level by nearly 500 feet, he argues, submerged continent-sized lands—including Atlantis, which he connects with the biblical Garden of Eden. Provocative chapters cover such topics as the continent’s appearance in ancient maps, Indonesia as the true site of Eden, American interpretations of Atlantis, the four rivers of paradise, and more, giving a clear form to the ghostly outline of this fabled land.",['Arysio Santos'],North Atlantic Books,"['Body, Mind & Spirit']"
Darksaber: Star Wars,2.0,Not another super weapon!,"This book had it's moments but overall was not what I have come to expect from a Star Wars novel. It was cool with that old Imperial scientist but was a little far fetched when he was executed more than once. Another death star. Come on, can't you think of your own ideas? It would have been better if the death star, that dominated most of the book, would fire at least once! The space battle at the end was sort of unrealistic. At least he tried, we should thank him for that. His trilogy Jedi Academy was much better. I would rent this book from the library if you want to read it, otherwise, I would stay away and read a book worthy of your time!","A ruthless mining baron joins forces with an Imperial general to construct their own superweapon, while Luke Skywalker and Callista attempt to restore her Jedi powers and Admiral Daala calls for detente among Imperial warlords to launch a new campaign to dominate the galaxy. Reprint.",['Kevin J. Anderson'],Spectra,['Fiction']
